folder,tomo,best_angle,best_distance,nominal_state_name,launcher
../data/2025-05-13--16h-29m--2025-05-13--16h-30m_1qb_tomo_sagnac2_40mW_B_nominally_H,R,359.9996130068401,1.776147667956132,H,B
../data/2025-05-13--17h-01m--2025-05-13--17h-03m_1qb_tomo_sagnac2_40mW_B_nominally_H,R,359.9996130068401,0.12122867175583718,H,B
../data/2025-05-13--17h-05m--2025-05-13--17h-07m_1qb_tomo_sagnac2_40mW_A_nominally_H,R,359.9996130068401,0.09910273806880372,H,A
../data/2025-05-14--10h-04m--2025-05-14--10h-06m_1qb_tomo_sagnac2_40mW_A_nominally_V,R,325.6822236913849,0.12485317648447794,V,A
../data/2025-05-14--10h-55m--2025-05-14--10h-56m_1qb_tomo_sagnac2_40mW_A_nominally_D,R,31.80888858289245,0.033229381634766575,D,A
../data/2025-05-14--10h-57m--2025-05-14--10h-58m_1qb_tomo_sagnac2_40mW_A_nominally_R,R,33.758962382679215,0.05099777982437182,R,A
../data/2025-05-14--10h-59m--2025-05-14--11h-00m_1qb_tomo_sagnac2_40mW_A_nominally_A,R,25.75608356267395,0.0696726207225738,A,A
../data/2025-05-14--11h-00m--2025-05-14--11h-02m_1qb_tomo_sagnac2_40mW_B_nominally_L,R,34.54743687119503,0.04151075082979927,L,B
../data/2025-05-14--11h-11m--2025-05-14--11h-12m_1qb_tomo_sagnac2_40mW_B_nominally_D,R,79.52532402412929,0.01078296249186159,D,B
../data/2025-05-14--11h-13m--2025-05-14--11h-14m_1qb_tomo_sagnac2_40mW_B_nominally_R,R,80.30953844715862,0.026857404355140196,R,B
../data/2025-05-14--11h-14m--2025-05-14--11h-16m_1qb_tomo_sagnac2_40mW_B_nominally_A,R,81.22140925151795,0.0789350051830908,A,B
../data/2025-05-14--11h-16m--2025-05-14--11h-18m_1qb_tomo_sagnac2_40mW_B_nominally_L,R,80.89933838106634,0.011323784158812612,L,B
../data/2025-05-13--16h-29m--2025-05-13--16h-30m_1qb_tomo_sagnac2_40mW_B_nominally_H,T,359.9996130068401,0.9194016867033759,H,B
../data/2025-05-13--17h-01m--2025-05-13--17h-03m_1qb_tomo_sagnac2_40mW_B_nominally_H,T,359.9996130068401,0.02173351386811784,H,B
../data/2025-05-13--17h-05m--2025-05-13--17h-07m_1qb_tomo_sagnac2_40mW_A_nominally_H,T,359.9996130068401,0.03908293077573329,H,A
../data/2025-05-14--10h-04m--2025-05-14--10h-06m_1qb_tomo_sagnac2_40mW_A_nominally_V,T,84.98205207099272,0.09589379784880608,V,A
../data/2025-05-14--10h-55m--2025-05-14--10h-56m_1qb_tomo_sagnac2_40mW_A_nominally_D,T,342.24608577198325,0.10153762188976512,D,A
../data/2025-05-14--10h-57m--2025-05-14--10h-58m_1qb_tomo_sagnac2_40mW_A_nominally_R,T,336.3744350524431,0.05893716994326036,R,A
../data/2025-05-14--10h-59m--2025-05-14--11h-00m_1qb_tomo_sagnac2_40mW_A_nominally_A,T,328.5692098420377,0.07181501243229278,A,A
../data/2025-05-14--11h-00m--2025-05-14--11h-02m_1qb_tomo_sagnac2_40mW_B_nominally_L,T,335.8976109914057,0.07043564395650859,L,B
../data/2025-05-14--11h-11m--2025-05-14--11h-12m_1qb_tomo_sagnac2_40mW_B_nominally_D,T,21.24737669722066,0.03614597117546535,D,B
../data/2025-05-14--11h-13m--2025-05-14--11h-14m_1qb_tomo_sagnac2_40mW_B_nominally_R,T,22.514812051688867,0.013367548749729383,R,B
../data/2025-05-14--11h-14m--2025-05-14--11h-16m_1qb_tomo_sagnac2_40mW_B_nominally_A,T,30.129505385116715,0.04597114346777623,A,B
../data/2025-05-14--11h-16m--2025-05-14--11h-18m_1qb_tomo_sagnac2_40mW_B_nominally_L,T,21.92686918779953,0.03243954743465447,L,B
